ID,Team.Name,Public.Score,Public.Rank,Private.Score,Private.Rank,Delta.Score,Delta.Rank
67,TiagoAndrade,0.64224,684,0.65086,66,0.00862,-618
68,Sam K,0.62931,1486,0.65086,67,0.02155,-1419
69,Jbullis,0.63075,1378,0.64943,68,0.01868,-1310
70,Buster Bluth,0.64799,351,0.64943,69,0.00144,-282
71,dmi3kno,0.63649,961,0.64943,70,0.01294,-891
72,RobEdX,0.65517,141,0.64943,71,-0.00574,-70
73,kjsaeger,0.64080,732,0.64943,72,0.00863,-660
74,subhadra.s,0.65374,182,0.64943,73,-0.00431,-109
75,Jonny Lomond,0.63937,822,0.64943,74,0.01006,-748
76,Ravijeet,0.64655,447,0.64943,75,0.00288,-372
77,phatgme,0.66379,54,0.64943,76,-0.01436,22
78,rathrave,0.64224,654,0.64943,77,0.00719,-577
79,vivienxing,0.62644,1887,0.64943,78,0.02299,-1809
80,KarlBaria,0.63075,1442,0.64943,79,0.01868,-1363
81,RainerHoft,0.63793,944,0.64943,80,0.01150,-864
82,BrianOakes,0.64080,758,0.64943,81,0.00863,-677
83,kishore,0.65805,112,0.64943,82,-0.00862,-30
84,ChidiyaChidiya,0.63362,1245,0.64943,83,0.01581,-1162
85,SidP,0.63649,1064,0.64943,84,0.01294,-980
86,Steven Frank,0.64224,680,0.64943,85,0.00719,-595
87,Arman,0.64511,474,0.64799,86,0.00288,-388
88,Georgii Vyshnia,0.66379,47,0.64799,87,-0.01580,40
89,Dozzy Dozzborn,0.64224,611,0.64799,88,0.00575,-523
90,scarecrow,0.63649,965,0.64799,89,0.01150,-876
91,hqhc16,0.65374,172,0.64799,90,-0.00575,-82
92,hellerox,0.64655,441,0.64799,91,0.00144,-350
93,RashmiManahalli,0.65374,181,0.64799,92,-0.00575,-89
94,Stormvision,0.65230,220,0.64799,93,-0.00431,-127
95,C_Havenstein,0.65374,186,0.64799,94,-0.00575,-92
96,TheStatsGuy,0.62213,2070,0.64799,95,0.02586,-1975
97,EguBreizh,0.66236,63,0.64799,96,-0.01437,33
98,druken,0.64224,669,0.64799,97,0.00575,-572
99,maurizio,0.63937,854,0.64799,98,0.00862,-756
100,Jose,0.64655,452,0.64799,99,0.00144,-353
101,Krones,0.64224,687,0.64799,100,0.00575,-587
102,notiv,0.62213,2083,0.64799,101,0.02586,-1982
103,roemeren,0.64511,471,0.64655,102,0.00144,-369
104,Nico,0.64655,412,0.64655,103,0.00000,-309
105,JackLord,0.64080,745,0.64655,104,0.00575,-641
106,Brenda,0.65374,164,0.64655,105,-0.00719,-59
107,ShubhankarGupta,0.65661,116,0.64655,106,-0.01006,-10
108,Bill,0.62644,1850,0.64655,107,0.02011,-1743
109,swilsonmfc,0.64799,350,0.64655,108,-0.00144,-242
110,ajmoffat,0.65805,105,0.64655,109,-0.01150,4
111,Calvin N. Hobbes,0.64511,492,0.64655,110,0.00144,-382
112,Aleksander Wawrzeniuk,0.63218,1297,0.64655,111,0.01437,-1186
113,Marcel de Ruiter,0.61494,2451,0.64655,112,0.03161,-2339
114,Jinwook Chang,0.64655,432,0.64655,113,0.00000,-319
115,YAUniqueAccountId,0.64368,563,0.64655,114,0.00287,-449
116,Aaron Judell,0.63649,1006,0.64655,115,0.01006,-891
117,JiaweiGu,0.61494,2461,0.64655,116,0.03161,-2345
118,mjkesling,0.63075,1417,0.64655,117,0.01580,-1300
119,AnirbanBiswas,0.63937,838,0.64655,118,0.00718,-720
120,Nader Henein,0.64943,325,0.64655,119,-0.00288,-206
121,aaronbutleryeats,0.63362,1228,0.64655,120,0.01293,-1108
122,jorditpuig,0.64799,359,0.64655,121,-0.00144,-238
123,EugeneHlyzov,0.63362,1224,0.64655,122,0.01293,-1102
124,JoonhoPark,0.65086,278,0.64655,123,-0.00431,-155
125,robertmaria,0.63649,1055,0.64655,124,0.01006,-931
126,avk2016,0.64080,765,0.64655,125,0.00575,-640
127,infactum,0.63937,857,0.64655,126,0.00718,-731
128,Rich He,0.65517,162,0.64655,127,-0.00862,-35
129,Andre Naef,0.64511,466,0.64511,128,0.00000,-338
130,Michaël,0.63649,964,0.64511,129,0.00862,-835
131,Kate,0.62787,1762,0.64511,130,0.01724,-1632
132,Murali,0.64224,603,0.64511,131,0.00287,-472
133,xlim06,0.62069,2088,0.64511,132,0.02442,-1956
134,Michael Read,0.65805,96,0.64511,133,-0.01294,37
135,Saul Garcia,0.65086,248,0.64511,134,-0.00575,-114
136,Boris Mangal,0.64511,498,0.64511,135,0.00000,-363
137,AnkitaMehta,0.62500,1943,0.64511,136,0.02011,-1807
138,Frédéric Crespo,0.63793,897,0.64511,137,0.00718,-760
139,kingsbury77,0.62644,1870,0.64511,138,0.01867,-1732
140,VeryFatBoy,0.64080,725,0.64511,139,0.00431,-586
141,DCYN,0.66236,62,0.64511,140,-0.01725,78
142,JoeBenbow,0.63362,1204,0.64511,141,0.01149,-1063
143,PetteriMoilanen,0.63218,1341,0.64511,142,0.01293,-1199
144,Ilya,0.62213,2064,0.64511,143,0.02298,-1921
145,Pedro Ferro,0.64943,331,0.64511,144,-0.00432,-187
146,Drendar,0.63793,931,0.64511,145,0.00718,-786
147,Dmitry Olyanich,0.64224,662,0.64511,146,0.00287,-516
148,rehband,0.65230,243,0.64511,147,-0.00719,-96
149,bcadddd,0.62213,2071,0.64511,148,0.02298,-1923
150,Valery Kharitonov,0.64943,328,0.64511,149,-0.00432,-179
151,jariak,0.64224,671,0.64511,150,0.00287,-521
152,Big.O,0.64224,663,0.64511,151,0.00287,-512
153,NormanYan,0.63937,860,0.64511,152,0.00574,-708
154,jpreardon,0.64511,527,0.64511,153,0.00000,-374
155,AnandAgrawal,0.63937,865,0.64511,154,0.00574,-711
156,Fernando Flores,0.64368,583,0.64511,155,0.00143,-428
157,CPirker,0.64511,532,0.64511,156,0.00000,-376
158,Roman,0.65661,137,0.64511,157,-0.01150,20
159,Camille,0.65517,140,0.64368,158,-0.01149,18
160,complexity101,0.63506,1072,0.64368,159,0.00862,-913
161,Frezki,0.64224,595,0.64368,160,0.00144,-435
162,mANDy,0.65230,206,0.64368,161,-0.00862,-45
163,Denys Frolov,0.66379,48,0.64368,162,-0.02011,114
164,Priya Ananthram,0.64511,479,0.64368,163,-0.00143,-316
165,robrytoo,0.66667,38,0.64368,164,-0.02299,126
166,?lker Derebey,0.64799,353,0.64368,165,-0.00431,-188
167,SachinKashyap,0.65230,214,0.64368,166,-0.00862,-48
168,A.J.S,0.62500,1931,0.64368,167,0.01868,-1764
169,DavidA,0.63793,904,0.64368,168,0.00575,-736
170,mishtone,0.62931,1571,0.64368,169,0.01437,-1402
171,Emre Can,0.63218,1349,0.64368,170,0.01150,-1179
172,David 3,0.62931,1614,0.64368,171,0.01437,-1443
173,HidekiNakane,0.65374,177,0.64368,172,-0.01006,-5
174,Rajeev Nair,0.63937,817,0.64368,173,0.00431,-644
175,Damian,0.63793,916,0.64368,174,0.00575,-742
176,JavierGonzález,0.62500,1948,0.64368,175,0.01868,-1773
177,MathiasLongo,0.63506,1121,0.64368,176,0.00862,-945
178,Vihang Patil,0.66236,69,0.64368,177,-0.01868,108
179,Pineapple,0.64799,392,0.64368,178,-0.00431,-214
180,Iridium66,0.64368,592,0.64368,179,0.00000,-413
181,EvelynSuryadi,0.64943,342,0.64368,180,-0.00575,-162
182,IRub,0.62931,1720,0.64368,181,0.01437,-1539
183,ak_student,0.65805,111,0.64368,182,-0.01437,71
184,ksstoc02,0.62069,2130,0.64368,183,0.02299,-1947
185,Osobrujo,0.63649,1040,0.64368,184,0.00719,-856
186,JamesSmyth,0.64224,677,0.64368,185,0.00144,-492
187,alex.strider,0.63937,864,0.64368,186,0.00431,-678
188,Hadyan,0.63506,1145,0.64368,187,0.00862,-958
189,LiliaDagger,0.64511,524,0.64368,188,-0.00143,-336
190,Piero Saravia,0.62787,1759,0.64224,189,0.01437,-1570
191,bgonurx,0.63937,783,0.64224,190,0.00287,-593
192,FahimShariff,0.64080,699,0.64224,191,0.00144,-508
193,dmstaple,0.65086,253,0.64224,192,-0.00862,-61
194,Pavel Pozdnyak,0.64943,299,0.64224,193,-0.00719,-106
195,Refik Arkut,0.64080,704,0.64224,194,0.00144,-510
196,svdb,0.64511,480,0.64224,195,-0.00287,-285
197,LoganCh,0.65661,117,0.64224,196,-0.01437,79
198,FernandoMangussi,0.62500,1923,0.64224,197,0.01724,-1726
199,Scott Brenstuhl,0.64368,585,0.64224,198,-0.00144,-387
200,KaushikGhosh,0.63937,807,0.64224,199,0.00287,-608
201,Jan Linka,0.63793,892,0.64224,200,0.00431,-692
202,YashwanthReddyVirupaksha,0.63649,992,0.64224,201,0.00575,-791
203,analyt1983,0.65230,204,0.64224,202,-0.01006,-2
204,DKim,0.63649,989,0.64224,203,0.00575,-786
205,Anil,0.63649,988,0.64224,204,0.00575,-784
206,fluffypinkfish,0.65805,98,0.64224,205,-0.01581,107
207,roberto,0.63218,1288,0.64224,206,0.01006,-1082
208,IlyaFedorov,0.67241,27,0.64224,207,-0.03017,180
209,freespirit,0.66092,77,0.64224,208,-0.01868,131
210,Alejandro salamanca,0.62931,1633,0.64224,209,0.01293,-1424
211,oxlw,0.63937,819,0.64224,210,0.00287,-609
212,pshetty,0.64080,751,0.64224,211,0.00144,-540
213,RchingR,0.61925,2293,0.64224,212,0.02299,-2081
214,Michael T,0.65230,239,0.64224,213,-0.01006,-26
215,bryanrushing,0.63649,978,0.64224,214,0.00575,-764
216,Restart55,0.65086,264,0.64224,215,-0.00862,-49
217,Anastasiia4kina,0.66954,31,0.64224,216,-0.02730,185
218,Ouroboros,0.65230,225,0.64224,217,-0.01006,-8
219,Wrosinski,0.63075,1418,0.64224,218,0.01149,-1200
220,finguiritis,0.64511,505,0.64224,219,-0.00287,-286
221,Neeraj,0.63649,984,0.64224,220,0.00575,-764
222,SRDAS,0.65517,153,0.64224,221,-0.01293,68
223,Xray525,0.66092,79,0.64224,222,-0.01868,143
224,Gavin,0.64943,327,0.64224,223,-0.00719,-104
225,VeronikaCh,0.64080,762,0.64224,224,0.00144,-538
226,Anibal,0.63075,1430,0.64224,225,0.01149,-1205
227,Avinash SIngh Pundhir,0.66523,43,0.64224,226,-0.02299,183
228,DickMoomaw,0.65661,130,0.64224,227,-0.01437,97
229,kagster,0.64943,335,0.64224,228,-0.00719,-107
230,veroneti,0.63937,855,0.64224,229,0.00287,-626
231,Elena,0.64224,613,0.64224,230,0.00000,-383
232,Christina,0.63649,1054,0.64224,231,0.00575,-823
233,Brandon,0.63075,1448,0.64224,232,0.01149,-1216
234,EduardoAbbud,0.63937,845,0.64224,233,0.00287,-612
235,Natkamon,0.63506,1106,0.64224,234,0.00718,-872
236,ManojKamra,0.62787,1822,0.64224,235,0.01437,-1587
237,clemsondoc,0.62931,1725,0.64224,236,0.01293,-1489
238,andrew271181,0.64080,761,0.64224,237,0.00144,-524
239,Akshat Bhushan,0.62213,2078,0.64224,238,0.02011,-1840
240,Spacecharm,0.63937,862,0.64224,239,0.00287,-623
241,ondrejm,0.62500,1924,0.64224,240,0.01724,-1684
242,AliceAverbukh,0.64080,767,0.64224,241,0.00144,-526
243,Naveen Mathew,0.64080,772,0.64224,242,0.00144,-530
244,Mikhail Plekhanov,0.64511,533,0.64224,243,-0.00287,-290
245,Huy Dinh,0.64080,692,0.64080,244,0.00000,-448
246,OlofAllnér,0.64368,541,0.64080,245,-0.00288,-296
247,Sushant Choudhary,0.63075,1388,0.64080,246,0.01005,-1142
248,Gharda,0.63649,970,0.64080,247,0.00431,-723
249,pathologist,0.66092,72,0.64080,248,-0.02012,176
250,arnowaczynski,0.63075,1394,0.64080,249,0.01005,-1145
251,Lau H,0.65374,188,0.64080,250,-0.01294,62
252,RalphThissen,0.63218,1290,0.64080,251,0.00862,-1039
253,Maltexx,0.63075,1396,0.64080,252,0.01005,-1144
254,Amit Verma,0.64511,478,0.64080,253,-0.00431,-225
255,rlittle,0.63937,804,0.64080,254,0.00143,-550
256,SunHat,0.62931,1465,0.64080,255,0.01149,-1210
257,ahmedelz,0.65086,277,0.64080,256,-0.01006,-21
258,jdubster,0.62213,2052,0.64080,257,0.01867,-1795
259,VadimMalykh,0.65086,259,0.64080,258,-0.01006,-1
260,EricMorris,0.64368,556,0.64080,259,-0.00288,-297
261,Gleb Smolnik,0.65086,261,0.64080,260,-0.01006,-1
262,eliott.brion,0.66379,50,0.64080,261,-0.02299,211
263,brianberry,0.65661,120,0.64080,262,-0.01581,142
264,jhicks,0.62500,1933,0.64080,263,0.01580,-1670
265,vogell,0.63362,1192,0.64080,264,0.00718,-928
266,BekTerra,0.65517,154,0.64080,265,-0.01437,111
267,michael_jz,0.65374,178,0.64080,266,-0.01294,88
268,Jean-Claude Favre,0.64799,383,0.64080,267,-0.00719,-116
269,Amolkulkarni,0.64511,503,0.64080,268,-0.00431,-235
270,NelsonMambre,0.63649,1014,0.64080,269,0.00431,-745
271,Adrian,0.64943,320,0.64080,270,-0.00863,-50
272,C.K. Tse,0.63937,825,0.64080,271,0.00143,-554
273,Diego Dell'Era,0.64511,494,0.64080,272,-0.00431,-222
274,OlyLesia,0.62787,1797,0.64080,273,0.01293,-1524
275,Pongsakorn,0.65230,227,0.64080,274,-0.01150,47
276,leakciM,0.63649,1023,0.64080,275,0.00431,-748
277,mVoid,0.64655,446,0.64080,276,-0.00575,-170
278,harish,0.63218,1331,0.64080,277,0.00862,-1054
279,MattW,0.64799,388,0.64080,278,-0.00719,-110
280,eotp00,0.63649,1049,0.64080,279,0.00431,-770
281,Silberling,0.65661,129,0.64080,280,-0.01581,151
282,Homem,0.63362,1211,0.64080,281,0.00718,-930
283,hansamurali,0.64511,515,0.64080,282,-0.00431,-233
284,Nikolaos Kafritsas,0.65661,128,0.64080,283,-0.01581,155
285,mckinleymh,0.62931,1703,0.64080,284,0.01149,-1419
286,DoubleD,0.63649,1024,0.64080,285,0.00431,-739
287,PaulRussell,0.64943,332,0.64080,286,-0.00863,-46
288,Karthick Anandaraman,0.64511,497,0.64080,287,-0.00431,-210
289,Pat Lipp,0.64655,427,0.64080,288,-0.00575,-139
290,tirkkis,0.64655,461,0.64080,289,-0.00575,-172
291,Asgard,0.64368,591,0.64080,290,-0.00288,-301
292,Data Wallah,0.64799,395,0.64080,291,-0.00719,-104
293,reabb,0.63793,911,0.64080,292,0.00287,-619
294,Diego Floras,0.63937,791,0.64080,293,0.00143,-498
295,MarcusBuxworth,0.63649,1008,0.64080,294,0.00431,-714
296,notarielle,0.61925,2362,0.64080,295,0.02155,-2067
297,BolianChen,0.65374,193,0.64080,296,-0.01294,103
298,Alexey Kuzmin,0.63937,842,0.64080,297,0.00143,-545
299,Jean-Francois Barthe,0.65517,161,0.64080,298,-0.01437,137
300,Diego Jaramillo,0.62356,2013,0.64080,299,0.01724,-1714
301,Geoff Breemer,0.64080,702,0.63937,300,-0.00143,-402
302,eMMaNNs,0.64511,469,0.63937,301,-0.00574,-168
303,Mariusz Strzelecki,0.64943,301,0.63937,302,-0.01006,1
304,Syed Mateen,0.64943,298,0.63937,303,-0.01006,5
305,Arun Krishnasamy,0.63937,847,0.63937,304,0.00000,-543
306,Tomas_S,0.65517,142,0.63937,305,-0.01580,163
307,MikeLawler,0.64655,413,0.63937,306,-0.00718,-107
308,Fernando Chilleron,0.64224,605,0.63937,307,-0.00287,-298
309,QueueJumper,0.92241,3,0.63937,308,-0.28304,305
310,Junhewk,0.64080,707,0.63937,309,-0.00143,-398
311,AlejandroFigar,0.65374,165,0.63937,310,-0.01437,145
312,balaji Thummalapenta,0.64080,719,0.63937,311,-0.00143,-408
313,AndrewCaceres,0.63362,1178,0.63937,312,0.00575,-866
314,VenuB,0.63218,1284,0.63937,313,0.00719,-971
315,Elyasin,0.64080,713,0.63937,314,-0.00143,-399
316,Taotao,0.64224,621,0.63937,315,-0.00287,-306
317,GuyArmel,0.63506,1082,0.63937,316,0.00431,-766
318,Mallo,0.63362,1185,0.63937,317,0.00575,-868
319,Chris. Derv.,0.66236,68,0.63937,318,-0.02299,250
320,RobertS,0.63218,1295,0.63937,319,0.00719,-976
321,Abraham,0.61351,2470,0.63937,320,0.02586,-2150
322,mjfahning,0.63506,1097,0.63937,321,0.00431,-776
323,Krisztina Németh,0.64511,499,0.63937,322,-0.00574,-177
324,Nandita,0.66667,41,0.63937,323,-0.02730,282
325,Malta,0.66379,52,0.63937,324,-0.02442,272
326,ChristophAdamek,0.64224,644,0.63937,325,-0.00287,-319
327,LucienM,0.66379,49,0.63937,326,-0.02442,277
328,Rahul Singhal,0.64799,380,0.63937,327,-0.00862,-53
329,Chris Falter,0.64655,435,0.63937,328,-0.00718,-107
330,Abhishek,0.64943,323,0.63937,329,-0.01006,6
331,Eddo Putradipura,0.63506,1113,0.63937,330,0.00431,-783
332,Noslav,0.65661,123,0.63937,331,-0.01724,208
333,André Dondon,0.63362,1247,0.63937,332,0.00575,-915
334,Tea Party in the Woods,0.65374,180,0.63937,333,-0.01437,153
335,Shanmugam Jaganathan,0.63075,1416,0.63937,334,0.00862,-1082
336,Randall Shane,0.67098,29,0.63937,335,-0.03161,306
337,Nobu_K,0.64080,730,0.63937,336,-0.00143,-394
338,Thuy Nguyen,0.64799,379,0.63937,337,-0.00862,-42
339,JuliaMooney,0.64368,566,0.63937,338,-0.00431,-228
340,PistaK,0.64224,645,0.63937,339,-0.00287,-306
341,Frank 2,0.62931,1629,0.63937,340,0.01006,-1289
342,sdasigi,0.64080,729,0.63937,341,-0.00143,-388
343,air,0.64080,738,0.63937,342,-0.00143,-396
344,jacqueline,0.63793,921,0.63937,343,0.00144,-578
345,AnTara,0.62931,1683,0.63937,344,0.01006,-1339
346,CherieC,0.64368,547,0.63937,345,-0.00431,-202
347,Franz Nava,0.63649,1029,0.63937,346,0.00288,-683
348,ajkc,0.65230,230,0.63937,347,-0.01293,117
349,Carlos,0.64511,514,0.63937,348,-0.00574,-166
350,gautammehra,0.65374,197,0.63937,349,-0.01437,152
351,HunzOK,0.64368,579,0.63937,350,-0.00431,-229
352,artk,0.65805,101,0.63937,351,-0.01868,250
353,lexi,0.63793,917,0.63937,352,0.00144,-565
354,venki,0.64080,753,0.63937,353,-0.00143,-400
355,Ken Kochi,0.65086,285,0.63937,354,-0.01149,69
356,BillyH.,0.64799,397,0.63937,355,-0.00862,-42
357,SuperHero,0.64511,522,0.63937,356,-0.00574,-166
358,Luca Faggioli,0.66092,81,0.63937,357,-0.02155,276
359,Tolga Aytemizel,0.65661,126,0.63937,358,-0.01724,232
360,JudyVS,0.64943,343,0.63937,359,-0.01006,16
361,nanobaka,0.66523,45,0.63937,360,-0.02586,315
362,Fitzy,0.62931,1608,0.63937,361,0.01006,-1247
363,Alex,0.63793,953,0.63937,362,0.00144,-591
364,RettButler,0.65230,232,0.63937,363,-0.01293,131
365,Srini,0.63362,1246,0.63937,364,0.00575,-882
366,Teppakorn Thanuthanad,0.60920,2521,0.63937,365,0.03017,-2156
367,papadox,0.62356,2034,0.63937,366,0.01581,-1668
368,slromero,0.62931,1566,0.63937,367,0.01006,-1199
369,JuhaLeino,0.63218,1375,0.63937,368,0.00719,-1007
370,Shux,0.61925,2318,0.63937,369,0.02012,-1949
371,SuneelValivety,0.63218,1376,0.63937,370,0.00719,-1006
372,BharathCh,0.64224,685,0.63937,371,-0.00287,-314
373,Alain L,0.62644,1908,0.63937,372,0.01293,-1536
374,Allen,0.62500,1986,0.63937,373,0.01437,-1613
375,Greg Thibault,0.64511,539,0.63937,374,-0.00574,-165
376,Daryl Kang,0.63362,1161,0.63793,375,0.00431,-786
377,Badjadounafrançois,0.64080,689,0.63793,376,-0.00287,-313
378,Peter,0.64368,542,0.63793,377,-0.00575,-165
379,CristianMejia,0.63506,1076,0.63793,378,0.00287,-698
380,Hannes Rydén,0.63937,785,0.63793,379,-0.00144,-406
381,nixon,0.64224,597,0.63793,380,-0.00431,-217
382,Vaibhav Bansal,0.62500,1915,0.63793,381,0.01293,-1534
383,ToniRincon,0.64799,361,0.63793,382,-0.01006,21
384,Juanan Pereira,0.64655,411,0.63793,383,-0.00862,-28
385,KunalAgarwal,0.63793,883,0.63793,384,0.00000,-499
386,Sivaram,0.64655,415,0.63793,385,-0.00862,-30
387,Victor Naidu,0.63937,794,0.63793,386,-0.00144,-408
388,PDricot,0.62644,1877,0.63793,387,0.01149,-1490
389,alvanson,0.63793,887,0.63793,388,0.00000,-499
390,Chandra Sutrisno,0.65374,176,0.63793,389,-0.01581,213
391,scible,0.64368,549,0.63793,390,-0.00575,-159
392,yurkai,0.65517,150,0.63793,391,-0.01724,241
393,WesSauder,0.63362,1176,0.63793,392,0.00431,-784
394,@cHeL!$,0.63218,1281,0.63793,393,0.00575,-888
395,Jiang,0.65086,254,0.63793,394,-0.01293,140
396,??????????????,0.64511,486,0.63793,395,-0.00718,-91
397,Vinoth Sinouvassin,0.62931,1658,0.63793,396,0.00862,-1262
398,JayKaka,0.63937,805,0.63793,397,-0.00144,-408
399,Leif Poorman,0.64943,307,0.63793,398,-0.01150,91
400,Jeff Gumpf,0.63218,1287,0.63793,399,0.00575,-888
401,ss1231,0.65948,90,0.63793,400,-0.02155,310
402,Landry,0.63506,1095,0.63793,401,0.00287,-694
403,Liton Saha,0.63937,818,0.63793,402,-0.00144,-416
404,MickH,0.63506,1103,0.63793,403,0.00287,-700
405,Floren,0.65517,158,0.63793,404,-0.01724,246
406,DavidCools,0.63937,811,0.63793,405,-0.00144,-406
407,helen,0.63937,835,0.63793,406,-0.00144,-429
408,Farbod Faghihi,0.63937,813,0.63793,407,-0.00144,-406
409,BibekanandaKundu,0.65086,271,0.63793,408,-0.01293,137
410,stephentyv,0.62069,2099,0.63793,409,0.01724,-1690
411,RobertDoubble,0.64224,643,0.63793,410,-0.00431,-233
412,Saeid,0.63793,922,0.63793,411,0.00000,-511
413,Dorlingm,0.64080,688,0.63793,412,-0.00287,-276
414,rafa,0.64224,634,0.63793,413,-0.00431,-221
415,essieno,0.63793,918,0.63793,414,0.00000,-504
416,VMK,0.63793,958,0.63793,415,0.00000,-543
417,Steve Riffe,0.63506,1110,0.63793,416,0.00287,-694
418,Sinsji,0.63793,915,0.63793,417,0.00000,-498
419,MarisuLamas,0.62787,1794,0.63793,418,0.01006,-1376
420,NilsDroste,0.63362,1205,0.63793,419,0.00431,-786
421,gbolee,0.63506,1139,0.63793,420,0.00287,-719
422,BradOber,0.66810,34,0.63793,421,-0.03017,387
423,Ceekr,0.64080,700,0.63793,422,-0.00287,-278
424,Naren,0.64224,650,0.63793,423,-0.00431,-227
425,Vipin,0.63793,924,0.63793,424,0.00000,-500
426,skalonaris,0.63362,1209,0.63793,425,0.00431,-784
427,G.Hari Prasath,0.63649,1031,0.63793,426,0.00144,-605
428,kansjs,0.63362,1202,0.63793,427,0.00431,-775
429,joeblue,0.64368,569,0.63793,428,-0.00575,-141
430,aliceanna,0.62356,2003,0.63793,429,0.01437,-1574
431,Super T,0.63075,1433,0.63793,430,0.00718,-1003
432,r-elle,0.64511,517,0.63793,431,-0.00718,-86
433,AnoopKulkarni,0.64224,638,0.63793,432,-0.00431,-206
434,wifla,0.64799,394,0.63793,433,-0.01006,39
435,adrianbenjamincaminoFernandez,0.64799,399,0.63793,434,-0.01006,35
436,Praful,0.65086,280,0.63793,435,-0.01293,155
437,doubleinfinity,0.66236,65,0.63793,436,-0.02443,371
438,MRed,0.64799,391,0.63793,437,-0.01006,46
439,Mikes,0.62931,1723,0.63793,438,0.00862,-1285
